prompt_idx,prompt,config,seed,clip_sim,ssim,lpips,gen_time_s,video_path
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",Baseline,42,35.5000114440918,0.9884643879460727,0.020231363277330442,518.8617861270905,results/videos/p0_Baseline_42.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",Baseline,123,35.9525260925293,0.9914399249923834,0.011234750100239008,518.4931538105011,results/videos/p0_Baseline_123.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",Baseline,456,30.386287689208984,0.9910869046626609,0.01610782563134476,512.0128483772278,results/videos/p0_Baseline_456.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",A: Scheduler Only,42,35.11012649536133,0.9768147712854832,0.025938529452240025,513.1342539787292,results/videos/p0_A_Scheduler_Only_42.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",A: Scheduler Only,123,34.651180267333984,0.9915455995798043,0.011659889619935441,507.4715642929077,results/videos/p0_A_Scheduler_Only_123.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",A: Scheduler Only,456,32.485130310058594,0.9909168747024292,0.01624091928479848,512.3916618824005,results/videos/p0_A_Scheduler_Only_456.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",B: Neg Prompt Only,42,35.38005447387695,0.9664631493429681,0.029765315923011966,512.785425901413,results/videos/p0_B_Neg_Prompt_Only_42.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",B: Neg Prompt Only,123,33.73712158203125,0.9909217120237005,0.013155906047258113,516.469114780426,results/videos/p0_B_Neg_Prompt_Only_123.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",B: Neg Prompt Only,456,34.763126373291016,0.9880824772470902,0.01885048588047977,512.3759117126465,results/videos/p0_B_Neg_Prompt_Only_456.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",C: Guidance Only,42,36.01190185546875,0.9824812289910388,0.024773448222765216,520.0534446239471,results/videos/p0_C_Guidance_Only_42.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",C: Guidance Only,123,36.67223358154297,0.9877234861039914,0.012463460564268407,510.37940764427185,results/videos/p0_C_Guidance_Only_123.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",C: Guidance Only,456,34.34895324707031,0.9887344412368975,0.014976107825835546,510.46982765197754,results/videos/p0_C_Guidance_Only_456.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",D: All Combined,42,34.35594177246094,0.9640481047709356,0.02920457415489687,509.8105444908142,results/videos/p0_D_All_Combined_42.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",D: All Combined,123,35.31930160522461,0.9904578737021439,0.010630843272708633,510.877888917923,results/videos/p0_D_All_Combined_123.mp4
0,"A camel moving in the desert with pyramids in the background, dramatic sunset",D: All Combined,456,34.192543029785156,0.9869938497014424,0.019536782883935504,512.0742712020874,results/videos/p0_D_All_Combined_456.mp4
1,"A golden retriever running through a field of wildflowers, sunny day",Baseline,42,33.0731315612793,0.8202931474938422,0.17840714283563472,511.9025390148163,results/videos/p1_Baseline_42.mp4
1,"A golden retriever running through a field of wildflowers, sunny day",Baseline,123,34.248958587646484,0.7347555625212293,0.1594162543338758,515.3751149177551,results/videos/p1_Baseline_123.mp4
1,"A golden retriever running through a field of wildflowers, sunny day",Baseline,456,33.69643020629883,0.9557393876277926,0.030589438767896757,511.61836671829224,results/videos/p1_Baseline_456.mp4
1,"A golden retriever running through a field of wildflowers, sunny day",A: Scheduler Only,42,32.072349548339844,0.8231632207127801,0.171736307097254,509.03705382347107,results/videos/p1_A_Scheduler_Only_42.mp4
1,"A golden retriever running through a field of wildflowers, sunny day",A: Scheduler Only,123,34.687110900878906,0.8866176261759767,0.06873614699752242,513.4034976959229,results/videos/p1_A_Scheduler_Only_123.mp4
1,"A golden retriever running through a field of wildflowers, sunny day",A: Scheduler Only,456,34.38343811035156,0.9559376423698359,0.028344796004670637,508.13079857826233,results/videos/p1_A_Scheduler_Only_456.mp4
1,"A golden retriever running through a field of wildflowers, sunny day",B: Neg Prompt Only,42,35.382362365722656,0.7966138435288511,0.16335851395571674,511.1563768386841,results/videos/p1_B_Neg_Prompt_Only_42.mp4
1,"A golden retriever running through a field of wildflowers, sunny day",B: Neg Prompt Only,123,34.588287353515625,0.9123702453005049,0.06617234117799888,509.475218296051,results/videos/p1_B_Neg_Prompt_Only_123.mp4
1,"A golden retriever running through a field of wildflowers, sunny day",B: Neg Prompt Only,456,36.17289352416992,0.9542794329203981,0.03307777318965505,512.0153141021729,results/videos/p1_B_Neg_Prompt_Only_456.mp4
